
Video time	m	s	boosterSpeed km/h	boosterAlt km	shipSpeed km/h	shipAlt km
87.793446	6	4	4027	17	3228	143
88.011722	6	5	4004	16	3244	143
88.2379	6	5	3977	16	3258	143
88.453017	6	5	3950	16	13274	143
88.66629	6	5	3926	16	13288	143
88.873214	6	5	3901	16	13305	143
89.074191	6	6	3845	15	13316	143
89.282148	6	6	3849	15	13332	143
89.488248	6	6	3818	15	1	143
89.704915	6	6	3494	1	1	143
89.956682	66	NaN	NaN	NaN	NaN	43
90.209898	NaN	NaN	NaN	NaN	NaN	NaN
90.460714	NaN	NaN	NaN	NaN	13413	143
90.673823	NaN	NaN	NaN	NaN	13427	143
90.883905	6	7	NaN	NaN	13441	143
91.091734	6	8	NaN	13	13458	143
91.299924	6	8	3554	13	13472	143
91.497205	6	8	3523	13	13486	143
91.698561	6	8	3492	13	13500	143
91.90911	6	8	3460	13	13514	143
92.109089	6	9	3421	12	13531	143
92.308894	6	9	3389	12	13545	143
92.507984	6	9	3356	12	13562	143
92.713114	6	9	3324	12	13576	143
92.914178	6	9	3291	12	13590	143
93.126374	6	10	3252	12	13605	143
93.320243	6	10	3225	11	13619	143
93.517342	6	10	3195	11	13632	143
93.712455	6	10	3156	11	13648	143
93.928155	6	1	3117	11	13662	143
94.130029	6	1	3091	11	13676	143
94.329466	6	1	3051	11	13691	143
94.542949	6	1	3018	10	13707	143
94.765653	6	1	2980	10	13722	143
94.962517	6	12	2947	10	13736	143
95.156529	6	12	2914	10	13750	143
95.354	6	12	2887	10	13765	143
95.546532	6	12	2856	10	13777	143
95.739287	6	12	2824	10	13792	143
95.942612	6	13	2793	9	13806	143
96.132169	6	13	2761	9	13821	143
96.326336	6	13	2730	9	13835	143
96.529018	6	13	2700	9	13850	143
96.721897	6	13	2678	9	13861	143
96.918276	6	14	2638	9	13877	143
97.12395	6	14	2609	9	13894	143
97.343419	6	14	2580	8	13908	143
97.537879	6	14	2552	8	13923	143
97.739586	6	14	2523	8	13937	144
97.927659	6	15	2495	8	13952	144
98.121699	6	15	2467	8	13966	144
98.326688	6	15	2440	8	13981	144
98.522006	6	15	2413	8	13993	144
98.717952	6	15	2391	8	14010	144
98.914992	6	15	2365	7	14022	144
99.109537	6	16	2338	7	14040	144
99.313821	6	16	2313	7	14052	144
99.508036	6	16	2287	7	14066	144
99.709107	6	16	2262	7	14081	144
99.916632	6	16	2240	7	14097	144
100.112592	6	17	2217	7	14114	144
100.353196	6	17	21	7	14131	144
100.629323	6	17	2148	6	14150	144
100.834801	6	17	2128	6	14165	144
101.044353	6	18	2105	6	14180	144
101.268896	6	18	2076	6	14203	144
101.536464	6	18	2046	6	14219	144
101.758673	6	18	2025	6	14235	144
101.965543	6	19	2004	6	14250	144
102.290598	6	19	1978	6	14277	144
102.568822	6	19	1944	6	14293	144
102.96219	6	20	1900	5	14326	144
103.167421	6	20	1887	5	14343	144
103.456686	6	20	1860	5	14363	144
103.678794	6	20	1839	5	14381	144
103.874865	6	20	1825	5	14396	144
104.071762	6	21	1808	5	14414	144
104.350654	6	21	1781	5	14434	144
104.535275	6	21	1768	4	14446	144
104.725994	6	21	1752	4	14459	144
104.909484	6	21	1738	4	14475	144
105.138691	6	22	1719	4	14493	144
105.330659	6	22	1706	4	14506	144
105.587118	6	22	1684	4	14532	144
105.886071	6	22	1658	4	14552	144
106.089048	6	23	1647	4	14565	144
106.265358	6	23	1	4	14578	144
106.436877	6	23	1618	4	14590	144
106.602405	6	23	1605	4	14603	144
106.771758	6	23	1	4	14618	144
107.032008	6	24	1	3	14641	144
107.223108	6	24	1	3	14662	144
107.500975	6	24	1	3	14683	144
107.735941	6	24	1	3	14694	144
107.904338	6	24	1512	3	14709	144
108.068617	6	25	1	3	14719	144
108.223272	6	25	1491	3	14732	144
108.400682	6	25	1479	3	14745	144
108.587161	6	25	1467	3	14763	144
108.798787	6	25	1455	3	14776	144
108.962145	6	26	1445	3	14790	144
109.125432	6	26	1436	3	14803	144
109.290465	6	26	1429	3	14816	144
109.444468	6	26	1419	3	14829	144
109.608843	6	26	1411	3	14839	144
109.774136	6	26	1403	2	14852	144
109.930912	6	26	1395	2	14861	144
110.096955	6	27	1386	2	14874	144
110.263801	6	27	1378	2	14893	144
110.442481	6	27	1368	2	14903	144
110.599791	6	27	1360	2	14919	144
110.844144	6	27	1350	2	14936	144
111.016534	6	28	1343	2	14951	144
111.202405	6	28	1333	2	14967	144
111.375461	6	28	1326	2	14978	144
111.538242	6	28	1320	2	14994	144
111.731669	6	28	1312	2	15010	144
111.909876	6	28	1305	2	15024	144
112.079066	6	29	1299	2	15037	144
112.247585	6	29	1292	2	15048	144
112.400132	6	29	1286	2	15062	144
112.564678	6	29	1279	2	15077	144
112.753855	6	29	1273	1	15091	144
112.953731	6	30	1267	1	15107	144
113.120629	6	30	1263	1	15117	144
113.287782	6	30	1255	1	15132	144
113.453287	6	30	1248	1	15148	144
113.616313	6	30	1238	1	15162	144
113.78565	6	30	1226	1	15175	144
113.9529	6	31	1217	1	15188	144
114.11066	6	31	1204	1	15201	144
114.280091	6	31	1187	1	15217	144
114.505744	NaN	NaN	1163	1	15234	144
114.673561	NaN	NaN	1142	1	15248	144
114.828868	NaN	NaN	1120	1	15259	144
114.996084	NaN	NaN	1097	1	15272	144
115.161601	NaN	NaN	1074	1	15287	144
115.325837	NaN	42	1050	1	15301	144
115.492893	NaN	NaN	1030	1	15313	144
115.656915	NaN	42	999	1	15326	144
115.821929	46	32	970	1	15340	144
115.99457	46	33	946	1	15355	144
116.160507	6	33	916	1	15372	144
116.355014	6	33	879	0	15386	144
116.508093	6	33	850	0	15400	144
116.678581	6	33	823	0	15414	144
116.848065	NaN	NaN	782	0	15426	144
117.013705	NaN	NaN	751	0	15441	144
117.185571	NaN	NaN	720	0	15456	144
117.365427	NaN	34	698	0	1	144
